ds,Forecast
2018-09-15,25538.610375456992
2018-09-16,25500.787314977635
2018-09-17,25463.71284401874
2018-09-18,25447.979422479693
2018-09-19,25425.693620384605
2018-09-20,25384.300240466073
2018-09-21,25369.321579086427
2018-09-22,25329.670036717038
2018-09-23,25293.101005448374
2018-09-24,25257.230330661954
2018-09-25,25242.802497665467
2018-09-26,25222.101123100758
2018-09-27,25182.766601900446
2018-09-28,25170.5282055379
2018-09-29,25134.509081597946
2018-09-30,25102.671334162693
2018-10-01,25072.825739279826
2018-10-02,25065.892500325688
2018-10-03,25054.304865872575
2018-10-04,25025.8206847208
2018-10-05,25026.249391746285
2018-10-06,25004.753040304236
2018-10-07,24989.288689031604
2018-10-08,24977.616784334004
2018-10-09,24990.5619864197
2018-10-10,25000.418259329075
2018-10-11,24994.76325246007
2018-10-12,25019.189376711405
2018-10-13,25022.61006009698
2018-10-14,25032.70832372424
2018-10-15,25046.95212184093
2018-10-16,25085.86267200202
2018-10-17,25121.427356939592
2018-10-18,25140.921977417107
2018-10-19,25189.649509633342
2018-10-20,25216.253609165055
2018-10-21,25248.173774025447
2018-10-22,25282.66640412155
2018-10-23,25340.077805331868
2018-10-24,25349.691677830873
2018-10-25,25341.26025585823
2018-10-26,25360.037205743214
2018-10-27,25354.659491449263
2018-10-28,25352.600655537855
2018-10-29,25351.188723379095
2018-10-30,25370.874893040324
2018-10-31,25383.644601692897
2018-11-01,25376.835829788302
2018-11-02,25395.871948697917
2018-11-03,25389.567571292242
2018-11-04,25385.574593914116
2018-11-05,25381.392992425004
2018-11-06,25397.63278492956
2018-11-07,25406.418990786475
2018-11-08,25395.204666563
2018-11-09,25409.499517283497
2018-11-10,25398.17270174709
2018-11-11,25388.89714072766
2018-11-12,25379.159967763007
2018-11-13,25389.525565786884
2018-11-14,25392.043001894595
2018-11-15,25374.06287554057
2018-11-16,25380.970966585468
2018-11-17,25361.497146433576
2018-11-18,25343.166666333742
2018-11-19,25323.318234320323
2018-11-20,25322.375069171947
2018-11-21,25312.26046995604
2018-11-22,25280.22263239419
2018-11-23,25271.57581302161
2018-11-24,25235.016026696696
2018-11-25,25198.078130662874
2018-11-26,25158.158471234623
2018-11-27,25135.789079567712
2018-11-28,25103.05479375213
2018-11-29,25047.41792367904
2018-11-30,25014.457496053143
2018-12-01,24953.18125580102
2018-12-02,24891.477323583815
2018-12-03,24827.129787630925
2018-12-04,24781.084372245557
2018-12-05,24725.855766317592
2018-12-06,24649.341479444196
2018-12-07,24597.549552630957
2018-12-08,24519.898619989744
2018-12-09,24444.657562925287
2018-12-10,24369.949388656736
2018-12-11,24317.00583061514
2018-12-12,24258.56460025327
2018-12-13,24182.67448463627
2018-12-14,24135.41591402992
2018-12-15,24066.195754245862
2018-12-16,24003.183776256683
2018-12-17,23944.315591444498
2018-12-18,23910.548646332943
2018-12-19,23874.26323835993
2018-12-20,23823.073712538528
2018-12-21,23866.63719991616
2018-12-22,23889.719294983843
2018-12-23,23919.882277273195
2018-12-24,23954.4219985225
2018-12-25,24013.638884864675
2018-12-26,24069.254801130784
2018-12-27,24108.24052942788
2018-12-28,24175.560956574103
2018-12-29,24219.49612121847
2018-12-30,24267.104910400132
2018-12-31,24315.255489725754
2019-01-01,24383.908334220218
2019-01-02,24444.54309180535
2019-01-03,24483.993726977264
2019-01-04,24547.19879249194
2019-01-05,24582.524798571187
2019-01-06,24617.229359438927
2019-01-07,24648.48816680514
2019-01-08,24696.671700153074
2019-01-09,24733.763025815453
2019-01-10,24747.181327409984
2019-01-11,24782.518281075976
2019-01-12,24788.845574963914
2019-01-13,24794.16063888588
2019-01-14,24796.3950662468
2019-01-15,24816.672105904447
2019-01-16,24827.70506684562
2019-01-17,24817.60177936146
2019-01-18,24832.58272418836
2019-01-19,24822.271610702523
2019-01-20,24815.125922355375
2019-01-21,24809.43232212648
2019-01-22,24826.553653463638
2019-01-23,24839.319674707927
2019-01-24,24835.826894856327
2019-01-25,24862.155268970553
2019-01-26,24867.660599512248
2019-01-27,24880.410143152363
2019-01-28,24898.186213443452
2019-01-29,24941.744330977228
2019-01-30,24983.21779821749
2019-01-31,25009.933735634782
2019-02-01,25067.147944255044
2019-02-02,25103.356995829825
2019-02-03,25145.754564739316
2019-02-04,25191.256278780853
2019-02-05,25259.779112757493
2019-02-06,25322.666673581778
2019-02-07,25366.52489798809
2019-02-08,25435.975038733402
2019-02-09,25478.98189020026
2019-02-10,25522.32386773622
2019-02-11,25562.628878834446
2019-02-12,25619.66174032782
2019-02-13,25664.75429658475
2019-02-14,25684.642646756056
2019-02-15,25724.218327121074
2019-02-16,25731.851453124476
