Date,Forecast
2022-07-14,34025.70157823185
2022-07-15,34025.78234549357
2022-07-16,34026.29500326194
2022-07-17,34026.97984917095
2022-07-18,34027.5535032566
2022-07-19,34027.79251948519
2022-07-20,34027.66167396886
2022-07-21,34027.244150354665
2022-07-22,34026.71574264555
2022-07-23,34026.31077741946
2022-07-24,34026.167700888676
2022-07-25,34026.31449920451
2022-07-26,34026.65885069865
2022-07-27,34027.054452655924
2022-07-28,34027.340428932854
2022-07-29,34027.41151699865
2022-07-30,34027.26873380005
2022-07-31,34026.98840637506
2022-08-01,34026.69381234167
2022-08-02,34026.499233805764
2022-08-03,34026.47194117889
2022-08-04,34026.604396590956
2022-08-05,34026.82664720189
2022-08-06,34027.04453008802
2022-08-07,34027.17370281702
2022-08-08,34027.1734514841
2022-08-09,34027.0572218908
2022-08-10,34026.88279483795
2022-08-11,34026.72393510621
2022-08-12,34026.640274975856
2022-08-13,34026.65649855699
2022-08-14,34026.75579064931
2022-08-15,34026.89087902077
2022-08-16,34027.00559455623
2022-08-17,34027.05757843184
2022-08-18,34027.033348173274
2022-08-19,34026.95037002006
2022-08-20,34026.84692968478
2022-08-21,34026.76535996381
2022-08-22,34026.73498285957
2022-08-23,34026.762216614516
2022-08-24,34026.83033374047
2022-08-25,34026.908643317176
2022-08-26,34026.96576649647
2022-08-27,34026.98169673047
2022-08-28,34026.954643569734
2022-08-29,34026.89963481846
2022-08-30,34026.84098370113
2022-08-31,34026.801763800315
2022-09-01,34026.795152673294
2022-09-02,34026.82031278256
2022-09-03,34026.86408361255
2022-09-04,34026.907544548565
2022-09-05,34026.93387428563
2022-09-06,34026.93468575771
2022-09-07,34026.91233241089
2022-09-08,34026.877936033365
2022-09-09,34026.846125612574
2022-09-10,34026.82894276086
2022-09-11,34026.83151333025
2022-09-12,34026.8507549557
2022-09-13,34026.877451827
2022-09-14,34026.9004543458
2022-09-15,34026.91123504414
2022-09-16,34026.9069107958
2022-09-17,34026.89074575994
2022-09-18,34026.87026064408
2022-09-19,34026.85385531978
2022-09-20,34026.847462726706
2022-09-21,34026.85250173872
2022-09-22,34026.86581211084
2022-09-23,34026.88136127634
2022-09-24,34026.892881103886
2022-09-25,34026.89633018447
2022-09-26,34026.891223013765
2022-09-27,34026.88044380982
2022-09-28,34026.86877072136
2022-09-29,34026.86082485616
2022-09-30,34026.85929452506
2022-10-01,34026.86409556337
2022-10-02,34026.87269780548
2022-10-03,34026.881364119145
2022-10-04,34026.886727091674
2022-10-05,34026.887055735984
2022-10-06,34026.88275402983
2022-10-07,34026.87597895382
2022-10-08,34026.86961897646
2022-10-09,34026.86609653627
2022-10-10,34026.8664780348
2022-10-11,34026.870203356855
2022-10-12,34026.875474946915
2022-10-13,34026.88008526849
2022-10-14,34026.88231624452
2022-10-15,34026.881554011656
2022-10-16,34026.8784101026
2022-10-17,34026.87435511755
2022-10-18,34026.87105767677
2022-10-19,34026.86971657258
2022-10-20,34026.87064531651
2022-10-21,34026.873244082366
2022-10-22,34026.876328854974
2022-10-23,34026.8786520709
2022-10-24,34026.87939321405
2022-10-25,34026.878431879755
2022-10-26,34026.876320620126
2022-10-27,34026.87399954186
2022-10-28,34026.87239085771
2022-10-29,34026.872043212825
2022-10-30,34026.87295828441
2022-10-31,34026.87464791567
2022-11-01,34026.87637511262
2022-11-02,34026.87746613642
2022-11-03,34026.87756505898
2022-11-04,34026.87673824594
2022-11-05,34026.87540406302
2022-11-06,34026.87413344929
2022-11-07,34026.87341242165
2022-11-08,34026.87346256374
2022-11-09,34026.874183023225
2022-11-10,34026.8752236494
2022-11-11,34026.87614709815
2022-11-12,34026.87660764081
2022-11-13,34026.87647555277
2022-11-14,34026.87586461965
2022-11-15,34026.87506230416
2022-11-16,34026.87439993905
2022-11-17,34026.87411960647
2022-11-18,34026.87428968429
2022-11-19,34026.87479666955
2022-11-20,34026.875408392756
2022-11-21,34026.87587657836
2022-11-22,34026.87603482302
2022-11-23,34026.87585448178
2022-11-24,34026.87544123294
2022-11-25,34026.87497991693
2022-11-26,34026.87465450058
2022-11-27,34026.87457682944
2022-11-28,34026.87475086913
2022-11-29,34026.87508255641
2022-11-30,34026.8754266244
2022-12-01,34026.87564834094
2022-12-02,34026.87567464378
2022-12-03,34026.87551596259
2022-12-04,34026.87525336056
2022-12-05,34026.87499964224
2022-12-06,34026.874852258545
2022-12-07,34026.87485713727
2022-12-08,34026.87499631232
2022-12-09,34026.87520163588
2022-12-10,34026.87538650279
2022-12-11,34026.87548138364
2022-12-12,34026.8754589846
2022-12-13,34026.87534037289
2022-12-14,34026.875181701675
2022-12-15,34026.87504873068
2022-12-16,34026.87499031125
2022-12-17,34026.8750212273
2022-12-18,34026.87512005893
2022-12-19,34026.87524131071
2022-12-20,34026.87533559586
2022-12-21,34026.87536919865
2022-12-22,34026.87533549453
2022-12-23,34026.87525465908
2022-12-24,34026.87516301485
2022-12-25,34026.87509724138
2022-12-26,34026.87508011364
2022-12-27,34026.87511313805
2022-12-28,34026.875178213646
2022-12-29,34026.87524672133
2022-12-30,34026.87529173237
2022-12-31,34026.875298272585
2023-01-01,34026.87526786709
2023-01-02,34026.87521620708
2023-01-03,34026.87516556947
2023-01-04,34026.875135482944
2023-01-05,34026.87513544511
2023-01-06,34026.87516229843
2023-01-07,34026.875202790645
2023-01-08,34026.875239779554
2023-01-09,34026.87525929116
2023-01-10,34026.87525560419
2023-01-11,34026.87523259744
2023-01-12,34026.87520123222
2023-01-13,34026.875174553956
2023-01-14,34026.87516241334
2023-01-15,34026.87516798361
2023-01-16,34026.87518723498
2023-01-17,34026.875211257706
2023-01-18,34026.87523023237
2023-01-19,34026.87523733376
2023-01-20,34026.87523106151
2023-01-21,34026.87521525975
2023-01-22,34026.87519706223
2023-01-23,34026.87518377863
2023-01-24,34026.87518004141
2023-01-25,34026.875186292
2023-01-26,34026.87519905211
2023-01-27,34026.87521268632
2023-01-28,34026.87522181518
2023-01-29,34026.875223374256
2023-01-30,34026.8752175581
2023-01-31,34026.87520740074
2023-02-01,34026.87519729937
2023-02-02,34026.87519116526
2023-02-03,34026.875190958315
2023-02-04,34026.87519613306
2023-02-05,34026.875204114665
2023-02-06,34026.87521151164
2023-02-07,34026.87521551725
2023-02-08,34026.8752149362
2023-02-09,34026.875210478014
2023-02-10,34026.875204280834
2023-02-11,34026.875198931426
2023-02-12,34026.87519641472
2023-02-13,34026.87519740763
2023-02-14,34026.875201154595
2023-02-15,34026.875205911856
2023-02-16,34026.87520972795
2023-02-17,34026.8752112224
2023-02-18,34026.875210060774
2023-02-19,34026.875206973935
2023-02-20,34026.875203362164
2023-02-21,34026.875200681476
2023-02-22,34026.87519987311
2023-02-23,34026.875201052884
2023-02-24,34026.87520355341
2023-02-25,34026.875206265584
2023-02-26,34026.875208115314
2023-02-27,34026.87520847635
2023-02-28,34026.87520736584
2023-03-01,34026.87520536978
2023-03-02,34026.8752033557
2023-03-03,34026.875202106545
2023-03-04,34026.875202025956
2023-03-05,34026.87520302183
2023-03-06,34026.87520459433
2023-03-07,34026.8752060728
2023-03-08,34026.87520689382
2023-03-09,34026.87520680842
2023-03-10,34026.87520594541
2023-03-11,34026.875204721546
2023-03-12,34026.87520364952
2023-03-13,34026.87520312902
2023-03-14,34026.875203303665
2023-03-15,34026.875204032345
2023-03-16,34026.875204974
2023-03-17,34026.87520574098
2023-03-18,34026.875206054305
2023-03-19,34026.87520584036
2023-03-20,34026.875205237775
2023-03-21,34026.87520452125
2023-03-22,34026.87520398068
2023-03-23,34026.8752038071
2023-03-24,34026.8752040291
2023-03-25,34026.875204518816
2023-03-26,34026.87520505808
2023-03-27,34026.875205432545
2023-03-28,34026.8752055144
2023-03-29,34026.875205302786
2023-03-30,34026.87520491075
2023-03-31,34026.875204509364
2023-04-01,34026.875204255266
2023-04-02,34026.875204231445
2023-04-03,34026.87520442283
2023-04-04,34026.87520473248
2023-04-05,34026.875205027834
2023-04-06,34026.875205195865
2023-04-07,34026.87520518486
2023-04-08,34026.875205017976
2023-04-09,34026.87520477639
2023-04-10,34026.87520456168
2023-04-11,34026.875204454256
2023-04-12,34026.87520448446
2023-04-13,34026.87520462604
2023-04-14,34026.87520481235
2023-04-15,34026.8752049664
2023-04-16,34026.87520503187
2023-04-17,34026.87520499272
2023-04-18,34026.87520487518
2023-04-19,34026.87520473309
2023-04-20,34026.875204624164
2023-04-21,34026.87520458713
2023-04-22,34026.87520462876
2023-04-23,34026.87520472461
2023-04-24,34026.875204831784
2023-04-25,34026.87520490753
2023-04-26,34026.87520492578
2023-04-27,34026.875204885546
2023-04-28,34026.87520480859
